TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
HGLG11;171,25;6,44;1,17;8.412.771,46;13,25;6,08;7,16;2.709.068.264,88;277.168,00;Ativa;
HGPO11;223,00;5,10;0,92;292.307,89;0,42;;;401.912.421,14;9.786,00;Passiva;
HGRE11;139,16;5,71;0,82;2.887.773,71;0,69;-4,30;-2,46;1.999.709.851,30;109.801,00;Ativa;
LATR11B;144,00;2,55;4,94;13.934,67;95,79;;;3.618.190,64;158,00;Ativa;
PABY11;12,97;0,00;;1.489,15;;;-18,61;-5.351.458,84;445,00;Passiva;
PATC11;68,09;5,07;0,79;1.191.999,66;0,70;;;301.119.063,31;14.088,00;Ativa;
PVBI11;95,91;3,50;0,99;2.249.205,20;14,56;;;937.390.900,16;28.936,00;Ativa;
QAGR11;53,82;8,04;0,92;1.503.792,83;0,25;;;295.099.926,08;16.807,00;Ativa;
QIFF11;105,34;4,39;1,06;149.386,46;0,88;;;14.847.744,25;157,00;Passiva;
SPVJ11;0,00;0,00;;;7,44;;;493.158.253,88;23,00;Ativa;
VSEC11;97,48;4,20;1,00;381.404,19;5,10;;;801.872.540,78;627,00;Ativa;
VTLT11;111,24;7,22;1,09;431.652,60;2,05;;3,27;216.125.538,57;5.381,00;Ativa;
BMII11;0,00;0,00;;;1,05;;;69.617.609,50;12,00;Ativa;
BVAR11;0,00;0,00;;;1,37;6,94;;687.487.754,05;69,00;Passiva;
LFTT11;105,00;3,86;1,85;510.289,34;8,55;;;365.605.185,72;361,00;Ativa;
MAXR11;1.839,90;7,16;0,82;123.972,89;1,06;-2,60;-3,22;133.176.296,00;2.806,00;Ativa;
MBRF11;814,45;11,68;0,71;106.431,00;3,74;-0,47;-9,45;115.903.506,84;2.785,00;Ativa;
MCCI11;103,98;7,16;1,05;3.403.656,09;16,92;;;885.932.304,42;38.469,00;Ativa;
RZTR11;105,80;3,79;1,09;2.742.681,09;3,44;;;469.216.242,21;17.182,00;Ativa;
VOTS11;83,00;4,87;0,84;36.135,76;28,63;;;81.930.949,73;321,00;Ativa;
VRTA11;114,90;8,00;1,15;2.098.414,60;33,08;-7,26;2,98;1.002.329.166,68;89.070,00;Ativa;
XPCI11;98,69;8,07;1,02;3.933.079,29;15,10;;;637.443.437,06;19.805,00;Ativa;
XPCM11;40,65;24,26;0,56;374.547,14;4,43;0,48;-25,53;175.883.719,98;32.729,00;Passiva;
XPHT11;85,20;0,00;0,98;54.956,73;0,92;;;331.034.343,27;1.617,00;Ativa;
CXTL11;300,00;2,68;0,47;196.463,27;16,52;-15,46;-19,07;33.983.424,56;561,00;Passiva;
FCAS11;0,00;0,00;;;186,17;;;80.684.223,04;2,00;Passiva;
RFOF11;86,85;6,67;0,93;281.838,14;0,91;;;100.641.131,08;3.029,00;Ativa;
RNDP11;674,92;32,03;0,72;59.392,31;20,82;51,32;-10,46;100.962.386,98;840,00;Ativa;
SADI11;83,45;2,95;0,83;460.422,80;11,20;;;319.481.216,39;2.831,00;Ativa;
SAIC11B;36,05;0,00;0,66;369,25;6,48;;;78.491.689,54;54,00;Passiva;
BLCP11;102,46;4,72;1,01;19.445,82;3,92;;;195.040.017,77;173,00;Ativa;
BTLG11;111,95;5,86;1,11;5.529.518,83;12,88;15,80;16,39;1.309.829.892,03;92.006,00;Ativa;
HGFF11;89,74;7,69;0,93;644.823,83;3,02;;;277.317.662,35;8.507,00;Ativa;
HGRU11;123,00;6,67;1,04;5.355.793,26;2,07;;;2.167.663.009,67;119.937,00;Ativa;
HLOG11;115,84;6,63;0,97;1.353.851,66;2,26;;;509.246.269,02;3.963,00;Ativa;
LASC11;92,03;4,51;0,89;85.228,43;12,66;;;259.395.088,16;132,00;Ativa;
LGCP11;93,66;6,27;0,95;423.626,31;0,61;;;270.070.933,07;8.218,00;Ativa;
RBIV11;84,50;7,49;0,84;257.561,26;3,60;;;102.840.461,30;2.584,00;Ativa;
RBRD11;59,69;33,80;0,84;101.012,77;4,06;21,96;-11,42;131.289.459,19;12.595,00;Passiva;
RBRF11;93,51;8,27;1,02;3.744.442,74;13,51;-3,64;-2,70;1.253.694.924,34;71.927,00;Ativa;
RBRL11;108,56;7,78;1,02;1.980.863,00;13,17;;;603.493.988,52;5.211,00;Ativa;
RBRP11;88,20;7,02;1,01;2.955.669,91;24,50;;;747.604.356,35;82.252,00;Ativa;
SHOP11;100,00;0,00;1,65;;5,72;;;89.593.691,38;11,00;Ativa;
VLJS11;1.141,14;2,23;1,43;;1,40;;;46.934.330,06;12,00;Passiva;
VLOL11;102,00;5,24;1,05;158.641,43;1,17;6,18;3,13;172.897.655,91;5.026,00;Passiva;
WTSP11B;49,70;3,65;0,62;45.739,37;4,09;;;79.151.217,54;207,00;Ativa;
CBOP11;72,99;8,17;0,80;104.298,34;1,06;1,86;-4,00;128.454.376,14;3.998,00;Passiva;
FPNG11;0,00;0,00;;;1,04;-17,02;;165.197.934,86;50,00;Ativa;
PBLV11;926,98;10,84;0,70;;3,84;;;3.618.776.490,59;2,00;Ativa;
SARE11;97,12;4,15;0,97;511.821,17;1,71;;;537.536.750,25;5.380,00;Ativa;
ARFI11B;479,99;0,00;0,40;;0,05;;;135.558.959,69;28,00;Ativa;
BZLI11;14,80;0,00;1,28;294.629,00;1,31;;3,34;438.444.330,80;31,00;Ativa;
KINP11;13,45;5,06;1,57;2.121,12;8,45;;;61.010.884,15;377,00;Ativa;
